Loan_ID,Customer_ID,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status,Customer_Criteria,Interest_Rate,loanamount,loan_amount_term,cibil_score,cibil_score_status,monthly_interest_amount,annual_interest_amount,Customer_ID,Customer_name,Gender,Age,Married,Education,Self_Employed,Loan_Id,Region_id,Customer_id,Load_ID,Customer_name,Region_id,Postal_Code,Segment,State,Region,Region_Id
LP001066,IP43026,9560,0,Semiurban,Y,B_Grade_Customer,7.0%,191,360,293,Penalty_Customer,1,13,IP43026,"Janet Molinari",Male,45,Yes,Graduate,Yes,LP001066,13.4,IP43026,LP001066,"Janet Molinari",13.4,10024,Corporate,"New York",East,13.4
LP001086,IP43029,1442,0,Urban,N,Low_Class_Customer,5.0%,35,360,521,Penalty_Customer,0,2,IP43029,"Paul Stevenson",Male,25,No,"Not Graduate",No,LP001086,13.3,IP43029,LP001086,"Paul Stevenson",13.3,60610,"Home Office",Illinois,North,13.3
LP001087,IP43030,3750,2083,Semiurban,Y,Low_Class_Customer,2.5%,120,360,620,Penalty_Customer,0,3,IP43030,"Brendan Sweed",Female,29,No,Graduate,NULL,LP001087,13.2,IP43030,LP001087,"Brendan Sweed",13.2,85234,Corporate,Arizona,West,13.2
LP001098,IP43034,3500,1667,Semiurban,Y,Low_Class_Customer,2.5%,114,360,667,Penalty_Customer,0,3,IP43034,"Ken Brennan",Male,33,Yes,Graduate,No,LP001098,13.3,IP43034,LP001098,"Ken Brennan",13.3,77041,Corporate,Texas,North,13.3
LP001100,IP43035,12500,3000,Rural,N,B_Grade_Customer,7.0%,320,360,889,No_Penalty,2,22,IP43035,"Stewart Carmichael",Male,64,No,Graduate,No,LP001100,13.2,IP43035,LP001100,"Stewart Carmichael",13.2,35601,Corporate,Alabama,West,13.2
LP001109,IP43037,1828,1330,Urban,N,Low_Class_Customer,5.0%,100,0,413,Penalty_Customer,0,5,IP43037,"Julie Creighton",Male,33,Yes,Graduate,No,LP001109,13.2,IP43037,LP001109,"Julie Creighton",13.2,27707,Corporate,"North Carolina",West,13.2
LP001112,IP43038,3667,1459,Semiurban,Y,Low_Class_Customer,2.5%,144,360,139,Penalty_Customer,0,4,IP43038,"Christopher Schild",Male,70,Yes,Graduate,No,LP001112,13.3,IP43038,LP001112,"Christopher Schild",13.3,60623,"Home Office",Illinois,North,13.3
LP001116,IP43040,3748,1668,Semiurban,Y,Low_Class_Customer,2.5%,110,360,71,Penalty_Customer,0,3,IP43040,"Gary Mitchum",Male,35,No,"Not Graduate",No,LP001116,13.3,IP43040,LP001116,"Gary Mitchum",13.3,77095,"Home Office",Texas,North,13.3
LP001119,IP43041,3600,0,Urban,N,Low_Class_Customer,5.0%,80,360,374,Penalty_Customer,0,4,IP43041,"Jim Sink",Male,33,No,Graduate,No,LP001119,13.2,IP43041,LP001119,"Jim Sink",13.2,90036,Corporate,California,West,13.2
LP001123,IP43043,2400,0,Urban,Y,Low_Class_Customer,5.0%,75,360,881,No_Penalty,0,4,IP43043,"Roger Barcio",Male,18,Yes,Graduate,No,LP001123,13.2,IP43043,LP001123,"Roger Barcio",13.2,97206,"Home Office",Oregon,West,13.2
LP001131,IP43044,3941,2336,Semiurban,Y,Low_Class_Customer,2.5%,134,360,80,Penalty_Customer,0,3,IP43044,"Parhena Norris",Male,64,Yes,Graduate,No,LP001131,13.4,IP43044,LP001131,"Parhena Norris",13.4,10009,"Home Office","New York",East,13.4
LP001137,IP43046,3410,0,Urban,Y,Low_Class_Customer,5.0%,88,0,495,Penalty_Customer,0,4,IP43046,"Elpida Rittenbach",Female,62,No,Graduate,No,LP001137,13.3,IP43046,LP001137,"Elpida Rittenbach",13.3,55106,Corporate,Minnesota,North,13.3
LP001138,IP43047,5649,0,Urban,Y,Middle_Class_Customer,7.0%,44,360,197,Penalty_Customer,0,3,IP43047,"Rick Bensley",Male,31,Yes,Graduate,No,LP001138,13.3,IP43047,LP001138,"Rick Bensley",13.3,60610,"Home Office",Illinois,North,13.3
LP001155,IP43051,1928,1644,Semiurban,Y,Low_Class_Customer,2.5%,100,360,808,No_Penalty,0,3,IP43051,"Pete Armstrong",Female,24,Yes,"Not Graduate",No,LP001155,13.3,IP43051,LP001155,"Pete Armstrong",13.3,60462,"Home Office",Illinois,North,13.3
LP001157,IP43052,3086,0,Semiurban,Y,Low_Class_Customer,2.5%,120,360,475,Penalty_Customer,0,3,IP43052,"Cynthia Voltz",Female,51,No,Graduate,No,LP001157,13.4,IP43052,LP001157,"Cynthia Voltz",13.4,10035,Corporate,"New York",East,13.4
LP001194,IP43056,2708,1167,Semiurban,Y,Low_Class_Customer,2.5%,97,360,509,Penalty_Customer,0,2,IP43056,"Greg Guthrie",Male,33,Yes,Graduate,No,LP001194,13.2,IP43056,LP001194,"Greg Guthrie",13.2,37620,Corporate,Tennessee,West,13.2
LP001197,IP43058,3366,2200,Rural,N,Low_Class_Customer,3.0%,135,360,186,Penalty_Customer,0,4,IP43058,"Alan Dominguez",Male,62,Yes,Graduate,No,LP001197,13.3,IP43058,LP001197,"Alan Dominguez",13.3,77041,"Home Office",Texas,North,13.3
LP001205,IP43061,2500,3796,Urban,Y,Low_Class_Customer,5.0%,120,360,629,Penalty_Customer,1,6,IP43061,"Lindsay Shagiari",Male,60,Yes,Graduate,No,LP001205,13.2,IP43061,LP001205,"Lindsay Shagiari",13.2,90004,"Home Office",California,West,13.2
LP001206,IP43062,3029,0,Urban,Y,Low_Class_Customer,5.0%,99,360,803,No_Penalty,0,5,IP43062,"Dorothy Wardle",Male,52,Yes,Graduate,No,LP001206,13.4,IP43062,LP001206,"Dorothy Wardle",13.4,43229,Corporate,Ohio,East,13.4
LP001222,IP43065,4166,0,Semiurban,N,Low_Class_Customer,2.5%,116,360,924,High_Cibil_Score,0,3,IP43065,"Sally Hughsby",Female,49,No,Graduate,No,LP001222,13.2,IP43065,LP001222,"Sally Hughsby",13.2,94122,Corporate,California,West,13.2
LP001233,IP43068,10750,0,Urban,Y,B_Grade_Customer,7.0%,312,360,551,Penalty_Customer,2,22,IP43068,"Maureen Gastineau",Male,61,Yes,Graduate,No,LP001233,13.4,IP43068,LP001233,"Maureen Gastineau",13.4,43055,"Home Office",Ohio,East,13.4
LP001238,IP43069,7100,0,Urban,Y,Middle_Class_Customer,7.0%,125,60,227,Penalty_Customer,1,9,IP43069,"Justin Ellison",Male,50,Yes,"Not Graduate",Yes,LP001238,13.3,IP43069,LP001238,"Justin Ellison",13.3,53132,Corporate,Wisconsin,North,13.3
LP001241,IP43070,4300,0,Semiurban,N,Low_Class_Customer,2.5%,136,360,827,No_Penalty,0,3,IP43070,"Tamara Willingham",Female,64,No,Graduate,No,LP001241,13.2,IP43070,LP001241,"Tamara Willingham",13.2,85254,"Home Office",Arizona,West,13.2
LP001243,IP43071,3208,3066,Urban,Y,Low_Class_Customer,5.0%,172,360,240,Penalty_Customer,1,9,IP43071,"Stephanie Phelps",Male,67,Yes,Graduate,No,LP001243,13.2,IP43071,LP001243,"Stephanie Phelps",13.2,95123,Corporate,California,West,13.2
LP001245,IP43072,1875,1875,Semiurban,Y,Low_Class_Customer,2.5%,97,360,245,Penalty_Customer,0,2,IP43072,"Neil Knudson",Male,46,Yes,"Not Graduate",Yes,LP001245,13.2,IP43072,LP001245,"Neil Knudson",13.2,98105,"Home Office",Washington,West,13.2
LP001265,IP43081,3846,0,Semiurban,Y,Low_Class_Customer,2.5%,111,360,431,Penalty_Customer,0,3,IP43081,"Jennifer Braxton",Female,57,No,Graduate,No,LP001265,13.3,IP43081,LP001265,"Jennifer Braxton",13.3,60623,Corporate,Illinois,North,13.3
LP001267,IP43083,1378,1881,Urban,N,Low_Class_Customer,5.0%,167,360,309,Penalty_Customer,1,8,IP43083,"Jim Kriz",Female,45,Yes,Graduate,No,LP001267,13.4,IP43083,LP001267,"Jim Kriz",13.4,10009,"Home Office","New York",East,13.4
LP001273,IP43084,6000,2250,Semiurban,N,Middle_Class_Customer,7.0%,265,360,393,Penalty_Customer,2,19,IP43084,"David Kendrick",Male,45,Yes,Graduate,No,LP001273,13.3,IP43084,LP001273,"David Kendrick",13.3,62521,Corporate,Illinois,North,13.3
LP001275,IP43085,3988,0,Urban,Y,Low_Class_Customer,5.0%,50,240,933,High_Cibil_Score,0,3,IP43085,"Robert Marley",Male,61,Yes,Graduate,No,LP001275,13.2,IP43085,LP001275,"Robert Marley",13.2,71203,"Home Office",Louisiana,West,13.2
LP001280,IP43087,3333,2000,Semiurban,Y,Low_Class_Customer,2.5%,99,360,985,High_Cibil_Score,0,2,IP43087,"Frank Merwin",Male,43,Yes,"Not Graduate",No,LP001280,13.2,IP43087,LP001280,"Frank Merwin",13.2,90032,"Home Office",California,West,13.2
LP001282,IP43088,2500,2118,Semiurban,Y,Low_Class_Customer,2.5%,104,360,789,No_Penalty,0,3,IP43088,"Alice McCarthy",Male,69,Yes,Graduate,No,LP001282,13.3,IP43088,LP001282,"Alice McCarthy",13.3,75051,Corporate,Texas,North,13.3
LP001289,IP43089,8566,0,Urban,Y,Middle_Class_Customer,7.0%,210,360,611,Penalty_Customer,1,15,IP43089,"Mark Packer",Male,49,No,Graduate,No,LP001289,13.4,IP43089,LP001289,"Mark Packer",13.4,10035,"Home Office","New York",East,13.4
LP001310,IP43090,5695,4167,Semiurban,Y,Middle_Class_Customer,7.0%,175,360,429,Penalty_Customer,1,12,IP43090,"Mary Zewe",Male,43,Yes,Graduate,No,LP001310,13.2,IP43090,LP001310,"Mary Zewe",13.2,92374,Corporate,California,West,13.2
LP001318,IP43092,6250,5654,Semiurban,Y,Middle_Class_Customer,7.0%,188,180,71,Penalty_Customer,1,13,IP43092,"Valerie Mitchum",Male,22,Yes,Graduate,No,LP001318,13.4,IP43092,LP001318,"Valerie Mitchum",13.4,7090,"Home Office","New Jersey",East,13.4
LP001319,IP43093,3273,1820,Urban,Y,Low_Class_Customer,5.0%,81,360,225,Penalty_Customer,0,4,IP43093,"Fred Hopkins",Male,27,Yes,"Not Graduate",No,LP001319,13.4,IP43093,LP001319,"Fred Hopkins",13.4,19120,Corporate,Pennsylvania,East,13.4
LP001327,IP43097,2484,2302,Semiurban,Y,Low_Class_Customer,2.5%,137,360,558,Penalty_Customer,0,3,IP43097,"Heather Kirkland",Female,62,Yes,Graduate,No,LP001327,13.2,IP43097,LP001327,"Heather Kirkland",13.2,37064,Corporate,Tennessee,West,13.2
LP001343,IP43100,1759,3541,Semiurban,Y,Low_Class_Customer,2.5%,131,360,213,Penalty_Customer,0,3,IP43100,"Michael Stewart",Male,41,Yes,Graduate,No,LP001343,13.3,IP43100,LP001343,"Michael Stewart",13.3,75220,Corporate,Texas,North,13.3
LP001345,IP43101,4288,3263,Urban,Y,Low_Class_Customer,5.0%,133,180,759,No_Penalty,1,7,IP43101,"Victoria Wilson",Male,69,Yes,"Not Graduate",No,LP001345,13.4,IP43101,LP001345,"Victoria Wilson",13.4,44256,Corporate,Ohio,East,13.4
LP001367,IP43106,3052,1030,Urban,Y,Low_Class_Customer,5.0%,100,360,157,Penalty_Customer,0,5,IP43106,"Erin Ashbrook",Male,43,Yes,Graduate,No,LP001367,13.2,IP43106,LP001367,"Erin Ashbrook",13.2,28205,Corporate,"North Carolina",West,13.2
LP001369,IP43107,11417,1126,Urban,Y,B_Grade_Customer,7.0%,225,360,636,Penalty_Customer,1,16,IP43107,"David Bremer",Male,39,Yes,Graduate,No,LP001369,13.2,IP43107,LP001369,"David Bremer",13.2,95051,Corporate,California,West,13.2
LP001379,IP43109,3800,3600,Urban,N,Low_Class_Customer,5.0%,216,360,231,Penalty_Customer,1,11,IP43109,"Dianna Wilson",Male,68,Yes,Graduate,No,LP001379,13.3,IP43109,LP001379,"Dianna Wilson",13.3,55044,"Home Office",Minnesota,North,13.3
LP001391,IP43113,3572,4114,Rural,N,Low_Class_Customer,3.0%,152,0,140,Penalty_Customer,0,5,IP43113,"Dan Reichenbach",Male,54,Yes,"Not Graduate",No,LP001391,13.3,IP43113,LP001391,"Dan Reichenbach",13.3,60623,Corporate,Illinois,North,13.3
LP001398,IP43115,5050,0,Semiurban,Y,Middle_Class_Customer,7.0%,118,360,278,Penalty_Customer,1,8,IP43115,"Dorris liebe",Male,63,No,Graduate,NULL,LP001398,13.3,IP43115,LP001398,"Dorris liebe",13.3,77506,Corporate,Texas,North,13.3
LP001401,IP43116,14583,0,Rural,Y,B_Grade_Customer,7.0%,185,180,478,Penalty_Customer,1,13,IP43116,"Sean Braxton",Male,68,Yes,Graduate,No,LP001401,13.3,IP43116,LP001401,"Sean Braxton",13.3,77036,Corporate,Texas,North,13.3
LP001421,IP43119,5568,2142,Rural,N,Middle_Class_Customer,7.0%,175,360,375,Penalty_Customer,1,12,IP43119,"Claudia Bergmann",Male,24,Yes,Graduate,No,LP001421,13.2,IP43119,LP001421,"Claudia Bergmann",13.2,27514,Corporate,"North Carolina",West,13.2
LP001422,IP43120,10408,0,Urban,Y,B_Grade_Customer,7.0%,259,360,997,High_Cibil_Score,2,18,IP43120,"Christine Abelman",Female,39,No,Graduate,No,LP001422,13.4,IP43120,LP001422,"Christine Abelman",13.4,45231,Corporate,Ohio,East,13.4
LP001426,IP43121,5667,2667,Rural,Y,Middle_Class_Customer,7.0%,180,360,731,Penalty_Customer,1,13,IP43121,"Kristen Hastings",Male,67,Yes,Graduate,No,LP001426,13.2,IP43121,LP001426,"Kristen Hastings",13.2,94110,Corporate,California,West,13.2
LP001430,IP43122,4166,0,Semiurban,Y,Low_Class_Customer,2.5%,44,360,483,Penalty_Customer,0,1,IP43122,"Barry Blumstein",Female,23,No,Graduate,No,LP001430,13.2,IP43122,LP001430,"Barry Blumstein",13.2,90301,Corporate,California,West,13.2
LP001431,IP43123,2137,8980,Semiurban,Y,Low_Class_Customer,2.5%,137,360,877,No_Penalty,0,3,IP43123,"Andrew Gjertsen",Female,60,No,Graduate,No,LP001431,13.4,IP43123,LP001431,"Andrew Gjertsen",13.4,19140,Corporate,Pennsylvania,East,13.4
LP001439,IP43125,4300,2014,Rural,Y,Low_Class_Customer,3.0%,194,360,213,Penalty_Customer,0,6,IP43125,"Alan Haines",Male,46,Yes,"Not Graduate",No,LP001439,13.2,IP43125,LP001439,"Alan Haines",13.2,33319,Corporate,Florida,West,13.2
LP001443,IP43126,3692,0,Rural,Y,Low_Class_Customer,3.0%,93,360,403,Penalty_Customer,0,3,IP43126,"Nick Zandusky",Female,66,No,Graduate,No,LP001443,13.4,IP43126,LP001443,"Nick Zandusky",13.4,43229,"Home Office",Ohio,East,13.4
LP001448,IP43127,23803,0,Rural,Y,A_Grade_Customer,7.0%,370,360,249,Penalty_Customer,2,26,IP43127,"Kelly Lampkin",Male,48,Yes,Graduate,No,LP001448,13.2,IP43127,LP001448,"Kelly Lampkin",13.2,80906,Corporate,Colorado,West,13.2
LP001451,IP43129,10513,3850,Urban,N,B_Grade_Customer,7.0%,160,180,929,High_Cibil_Score,1,11,IP43129,"Corey Roper",Male,69,Yes,Graduate,Yes,LP001451,13.4,IP43129,LP001451,"Corey Roper",13.4,8701,"Home Office","New Jersey",East,13.4
LP001469,IP43131,20166,0,Urban,Y,A_Grade_Customer,7.0%,650,480,840,No_Penalty,4,46,IP43131,"Ben Peterman",Male,21,No,Graduate,Yes,LP001469,13.2,IP43131,LP001469,"Ben Peterman",13.2,80004,Corporate,Colorado,West,13.2
LP001473,IP43132,2014,1929,Urban,Y,Low_Class_Customer,5.0%,74,360,208,Penalty_Customer,0,4,IP43132,"Thomas Seio",Male,34,No,Graduate,No,LP001473,13.4,IP43132,LP001473,"Thomas Seio",13.4,7601,Corporate,"New Jersey",East,13.4
LP001478,IP43133,2718,0,Semiurban,Y,Low_Class_Customer,2.5%,70,360,353,Penalty_Customer,0,2,IP43133,"Andy Gerbode",Male,32,No,Graduate,No,LP001478,13.2,IP43133,LP001478,"Andy Gerbode",13.2,33710,Corporate,Florida,West,13.2
LP001482,IP43134,3459,0,Semiurban,Y,Low_Class_Customer,2.5%,25,120,926,High_Cibil_Score,0,1,IP43134,"Sung Pak",Male,67,Yes,Graduate,Yes,LP001482,13.4,IP43134,LP001482,"Sung Pak",13.4,19143,Corporate,Pennsylvania,East,13.4
LP001487,IP43135,4895,0,Semiurban,Y,Low_Class_Customer,2.5%,102,360,688,Penalty_Customer,0,3,IP43135,"Nathan Mautz",Male,59,No,Graduate,No,LP001487,13.4,IP43135,LP001487,"Nathan Mautz",13.4,10024,"Home Office","New York",East,13.4
LP001488,IP43136,4000,7750,Semiurban,N,Low_Class_Customer,2.5%,290,360,433,Penalty_Customer,1,7,IP43136,"Frank Atkinson",Male,70,Yes,Graduate,No,LP001488,13.2,IP43136,LP001488,"Frank Atkinson",13.2,90805,Corporate,California,West,13.2
LP001489,IP43137,4583,0,Rural,N,Low_Class_Customer,3.0%,84,360,113,Penalty_Customer,0,3,IP43137,"Grace Kelly",Female,19,Yes,Graduate,No,LP001489,13.2,IP43137,LP001489,"Grace Kelly",13.2,92345,Corporate,California,West,13.2
LP001491,IP43138,3316,3500,Urban,Y,Low_Class_Customer,5.0%,88,360,129,Penalty_Customer,0,4,IP43138,"Don Jones",Male,69,Yes,Graduate,Yes,LP001491,13.2,IP43138,LP001491,"Don Jones",13.2,37130,Corporate,Tennessee,West,13.2
LP001498,IP43142,5417,0,Urban,Y,Middle_Class_Customer,7.0%,168,360,883,No_Penalty,1,12,IP43142,"Alyssa Crouse",Male,48,No,Graduate,No,LP001498,13.2,IP43142,LP001498,"Alyssa Crouse",13.2,94122,Corporate,California,West,13.2
LP001508,IP43145,11757,0,Urban,Y,B_Grade_Customer,7.0%,187,180,227,Penalty_Customer,1,13,IP43145,"Adam Bellavance",Male,70,Yes,Graduate,No,LP001508,13.4,IP43145,LP001508,"Adam Bellavance",13.4,10009,"Home Office","New York",East,13.4
LP001516,IP43147,14866,0,Urban,Y,B_Grade_Customer,7.0%,70,360,129,Penalty_Customer,0,5,IP43147,"Victoria Brennan",Female,53,Yes,Graduate,No,LP001516,13.2,IP43147,LP001516,"Victoria Brennan",13.2,31907,Corporate,Georgia,West,13.2
LP001520,IP43150,4860,830,Semiurban,Y,Low_Class_Customer,2.5%,125,360,193,Penalty_Customer,0,3,IP43150,"Michael Kennedy",Male,66,Yes,Graduate,No,LP001520,13.4,IP43150,LP001520,"Michael Kennedy",13.4,6040,Corporate,Connecticut,East,13.4
LP001531,IP43153,9166,0,Urban,N,B_Grade_Customer,7.0%,244,360,484,Penalty_Customer,1,17,IP43153,"Muhammed MacIntyre",Male,59,No,Graduate,No,LP001531,13.3,IP43153,LP001531,"Muhammed MacIntyre",13.3,62301,Corporate,Illinois,North,13.3
LP001532,IP43154,2281,0,Rural,N,Low_Class_Customer,3.0%,113,360,390,Penalty_Customer,0,3,IP43154,"Allen Rosenblatt",Male,25,Yes,"Not Graduate",No,LP001532,13.4,IP43154,LP001532,"Allen Rosenblatt",13.4,2038,Corporate,Massachusetts,East,13.4
LP001536,IP43156,39999,0,Semiurban,Y,A_Grade_Customer,7.0%,600,180,738,Penalty_Customer,4,42,IP43156,"Alejandro Savely",Male,50,Yes,Graduate,No,LP001536,13.2,IP43156,LP001536,"Alejandro Savely",13.2,94109,Corporate,California,West,13.2
LP001541,IP43157,6000,0,Rural,Y,Middle_Class_Customer,7.0%,160,360,164,Penalty_Customer,1,11,IP43157,"Laura Armstrong",Male,66,Yes,Graduate,No,LP001541,13.3,IP43157,LP001541,"Laura Armstrong",13.3,48180,Corporate,Michigan,North,13.3
LP001546,IP43159,2980,2083,Rural,Y,Low_Class_Customer,3.0%,120,360,424,Penalty_Customer,0,4,IP43159,"Dean Katz",Male,30,No,Graduate,NULL,LP001546,13.4,IP43159,LP001546,"Dean Katz",13.4,19140,Corporate,Pennsylvania,East,13.4
LP001565,IP43163,3089,1280,Semiurban,N,Low_Class_Customer,2.5%,400,360,0,Penalty_Customer,1,10,IP43163,"Bart Pistole",Male,36,Yes,Graduate,No,LP001565,13.3,IP43163,LP001565,"Bart Pistole",13.3,61604,Corporate,Illinois,North,13.3
LP001570,IP43164,4167,1447,Rural,Y,Low_Class_Customer,3.0%,158,360,82,Penalty_Customer,0,5,IP43164,"Victor Preis",Male,57,Yes,Graduate,No,LP001570,13.2,IP43164,LP001570,"Victor Preis",13.2,89115,"Home Office",Nevada,West,13.2
LP001572,IP43165,9323,0,Urban,Y,B_Grade_Customer,7.0%,75,180,227,Penalty_Customer,0,5,IP43165,"Saphhira Shifley",Male,27,Yes,Graduate,No,LP001572,13.4,IP43165,LP001572,"Saphhira Shifley",13.4,2886,Corporate,"Rhode Island",East,13.4
LP001580,IP43170,8000,0,Semiurban,Y,Middle_Class_Customer,7.0%,200,360,576,Penalty_Customer,1,14,IP43170,"Kimberly Carter",Male,23,Yes,Graduate,No,LP001580,13.2,IP43170,LP001580,"Kimberly Carter",13.2,98105,Corporate,Washington,West,13.2
LP001586,IP43173,3522,0,Rural,N,Low_Class_Customer,3.0%,81,180,662,Penalty_Customer,0,2,IP43173,"Michael Paige",Male,60,Yes,"Not Graduate",No,LP001586,13.4,IP43173,LP001586,"Michael Paige",13.4,1841,Corporate,Massachusetts,East,13.4
LP001603,IP43175,4344,736,Semiurban,N,Low_Class_Customer,2.5%,87,360,710,Penalty_Customer,0,2,IP43175,"Shirley Daniels",Male,46,Yes,"Not Graduate",Yes,LP001603,13.4,IP43175,LP001603,"Shirley Daniels",13.4,10801,"Home Office","New York",East,13.4
LP001606,IP43176,3497,1964,Rural,Y,Low_Class_Customer,3.0%,116,360,606,Penalty_Customer,0,3,IP43176,"Ken Heidel",Male,60,Yes,Graduate,No,LP001606,13.3,IP43176,LP001606,"Ken Heidel",13.3,78207,Corporate,Texas,North,13.3
LP001608,IP43177,2045,1619,Rural,Y,Low_Class_Customer,3.0%,101,360,789,No_Penalty,0,3,IP43177,"Ross Baird",Male,50,Yes,Graduate,No,LP001608,13.2,IP43177,LP001608,"Ross Baird",13.2,28052,"Home Office","North Carolina",West,13.2
LP001616,IP43179,3750,0,Semiurban,Y,Low_Class_Customer,2.5%,116,360,473,Penalty_Customer,0,3,IP43179,"Philisse Overcash",Male,41,Yes,Graduate,No,LP001616,13.3,IP43179,LP001616,"Philisse Overcash",13.3,60623,"Home Office",Illinois,North,13.3
LP001630,IP43180,2333,1451,Urban,N,Low_Class_Customer,5.0%,102,480,440,Penalty_Customer,0,5,IP43180,"Brenda Bowman",Male,27,No,"Not Graduate",No,LP001630,13.3,IP43180,LP001630,"Brenda Bowman",13.3,77070,Corporate,Texas,North,13.3
LP001636,IP43183,4600,0,Semiurban,Y,Low_Class_Customer,2.5%,73,180,433,Penalty_Customer,0,2,IP43183,"Ed Braxton",Male,51,Yes,Graduate,No,LP001636,13.4,IP43183,LP001636,"Ed Braxton",13.4,44312,Corporate,Ohio,East,13.4
LP001639,IP43185,3625,0,Semiurban,Y,Low_Class_Customer,2.5%,108,360,395,Penalty_Customer,0,3,IP43185,"Tanja Norvell",Female,30,Yes,Graduate,No,LP001639,13.2,IP43185,LP001639,"Tanja Norvell",13.2,85023,"Home Office",Arizona,West,13.2
LP001640,IP43186,39147,4750,Semiurban,Y,A_Grade_Customer,7.0%,120,360,72,Penalty_Customer,1,8,IP43186,"Joni Sundaresam",Male,26,Yes,Graduate,Yes,LP001640,13.3,IP43186,LP001640,"Joni Sundaresam",13.3,60068,"Home Office",Illinois,North,13.3
LP001641,IP43187,2178,0,Rural,N,Low_Class_Customer,3.0%,66,300,794,No_Penalty,0,2,IP43187,"Maya Herman",Male,32,Yes,Graduate,Yes,LP001641,13.4,IP43187,LP001641,"Maya Herman",13.4,11757,Corporate,"New York",East,13.4
LP001647,IP43190,9328,0,Rural,Y,B_Grade_Customer,7.0%,188,180,264,Penalty_Customer,1,13,IP43190,"John Grady",Male,34,Yes,Graduate,No,LP001647,13.4,IP43190,LP001647,"John Grady",13.4,10024,Corporate,"New York",East,13.4
LP001657,IP43193,6033,0,Urban,N,Middle_Class_Customer,7.0%,160,360,153,Penalty_Customer,1,11,IP43193,"Michelle Tran",Male,51,Yes,"Not Graduate",No,LP001657,13.2,IP43193,LP001657,"Michelle Tran",13.2,90045,"Home Office",California,West,13.2
LP001664,IP43195,4191,0,Rural,Y,Low_Class_Customer,3.0%,120,360,114,Penalty_Customer,0,4,IP43195,"Carl Weiss",Male,31,No,Graduate,No,LP001664,13.3,IP43195,LP001664,"Carl Weiss",13.3,77340,"Home Office",Texas,North,13.3
